_id,created_at,updated_at,deleted_at,last_updated_at,last_deleted_at,common_order,is_dental
1215,2009-05-31 18:04:29,2011-07-25 21:03:43,,1311627823.712,,,0
1216,2009-05-31 18:04:30,2013-07-16 21:15:19,,1374009319.852,,,0
1217,2009-05-31 18:04:30,2015-01-28 22:20:14,,1422483614.086,,,0
1218,2009-05-31 18:04:31,2013-07-16 21:29:34,,1374010174.253,,,0
1219,2009-05-31 18:04:33,2013-07-16 21:25:48,,1374009948.476,,,0
1220,2009-05-31 18:04:34,2011-07-25 21:03:43,,1311627823.752,,,0
1221,2009-05-31 18:04:35,2011-07-25 21:03:43,,1311627823.76,,,0
1222,2009-05-31 18:04:36,2013-07-16 21:18:17,,1374009497.36,,,0
1223,2009-05-31 18:04:36,2013-07-16 21:17:53,,1374009473.691,,,0
1224,2009-05-31 18:04:39,2013-07-16 21:27:24,,1374010044.557,,,0
1225,2009-05-31 18:04:39,2011-07-25 21:03:43,,1311627823.796,,,0
1226,2009-05-31 18:04:40,2013-07-16 21:24:30,,1374009870.164,,,0
1227,2009-05-31 18:04:41,2014-07-01 17:13:02,,1404234782.817,,,0
1228,2009-05-31 18:04:46,2012-01-18 23:41:24,,1326930084.427,,,0
1229,2009-05-31 18:04:48,2013-07-16 21:23:14,,1374009794.75,,,0
1230,2009-05-31 18:04:48,2013-07-16 21:19:06,,1374009546.286,,,0
1231,2009-05-31 18:04:48,2013-07-16 21:26:48,,1374010008.807,,,0
1232,2009-05-31 18:04:48,2011-07-25 21:03:43,,1311627823.856,,,0
1233,2009-05-31 18:04:49,2011-07-25 21:03:43,,1311627823.864,,,0
1234,2009-05-31 18:04:50,2011-07-25 21:03:43,,1311627823.872,,,0
1235,2009-05-31 18:04:54,2013-06-23 16:53:22,,1372006402.297,,,0
1236,2009-05-31 18:04:56,2011-07-25 21:03:43,,1311627823.892,,,0
1237,2009-05-31 18:05:04,2011-07-25 21:03:43,,1311627823.896,,,0
1238,2009-05-31 18:05:10,2011-07-25 21:03:43,,1311627823.904,,,0
1239,2009-05-31 18:05:12,2011-07-25 21:03:43,,1311627823.912,,,0
