_id,name,specialty_type,approved,premier
514,"GMMI, Inc",medical,0,
515,Great West,medical,0,
516,HealthCare USA,medical,0,
517,Healthlink,medical,0,
518,Health Markets,medical,0,
519,HealthScope Benefits,medical,0,
520,HMN (Health Management Network),medical,0,
521,IAC - Insurers Administrative Corporation ,medical,0,
522,"Innova College Virtual Campus, Inc.",medical,0,
523,Integrated Health Plan,medical,0,
524,Lewer Agency,medical,0,
525,Planned Administrators,medical,0,
526,Mercy Health Plan,medical,0,
527,Multiplan,medical,1,0
528,NetCard Systems,medical,0,
529,National PPO Network,medical,0,
530,PayerFusion,medical,0,
531,Peoples Health Plan,medical,0,
532,PHCS,medical,1,0
533,POMCO,medical,0,
534,Preferred Benefit Administrator,medical,0,
535,Premium Medical Service,medical,0,
536,ProMedical,medical,0,
537,S & S Healthcare,medical,0,
538,Star Healthcare Network,medical,0,
539,Student Assurance Services,medical,0,
540,The Alliance,medical,0,
541,Three Rivers Provider Network,medical,0,
542,Travel Care Services ,medical,0,
543,TriCare,medical,0,
544,United Mine Workers of America (UMWA),medical,0,
545,UNICARE PPO,medical,0,
546,Universal Assistance,medical,0,
547,Universal Health Care Group,medical,0,
548,University Hospital Health System,medical,0,
549,USA Managed Care Organization,medical,1,0
550,Walgreens,medical,0,
551,World Assist Corporation,medical,0,
552,HFN Inc.,medical,0,
553,Matcor Metal Fabrication,medical,0,0
554,State of IL,medical,0,
555,Caterpillar Inc,medical,0,
556,Century Health Solutions,medical,0,
557,Emerald Health Network,medical,0,
558,Freedom Network,medical,0,
559,MassHealth,medical,1,0
560,South Lake Hospital,medical,1,
561,Colorado Access,medical,1,
562,CHAMPVA,medical,1,
563,Regence Uniform Medical Plan,medical,1,
564,Medicare Advantage Health Plans,medical,1,
565,Cigna HealthCare of California,medical,1,0
566,Anthem Blue Cross- California Health Plans,medical,1,0
567,Anthem Blue Cross- California,medical,1,0
568,PEIA (West Virginia Public Employees Health Insurance) ,medical,1,0
569,IHS (Indian Health Service) ,medical,1,0
570,iTriage Health,medical,1,0
571,Meritain Health,medical,1,0
572,Horizon BCBS of New Jersey,medical,1,0
573,Aetna NJ State Health Benefits Program,medical,1,0
574,HUSKY Health of Connecticut ,medical,1,0
575,Colorado Accountable Care,medical,1,0
577,Insurance Administrators of America (IAA),medical,1,0
579,Evercare UHC,medical,1,0
581,n/a,medical,1,0
583,Cigna Medicare Access,medical,1,0
585,Coventry First Health,medical,1,0
587,Wellmed / UnitedHealth Group,medical,1,0
589,Imagine Health,medical,1,0
591,Medicus International,medical,1,0
593,National ChoiceCare,medical,1,0
595,Political Subdivision Workers Compensation Alliance,medical,1,0
597,Pyramid Life Insurance Co.,medical,1,0
599,Railroad Medicare,medical,1,0
601,Select Care of Texas,medical,1,0
603,Texas Health Care Networks,medical,1,0
605,Texas Health Care Foundation,medical,1,0
607,Texas Star / Texas Mutual Insurance ,medical,1,0
609,Texas True Choice ,medical,1,0
611,Unicare Medicare,medical,1,0
613,Universal Healthcare Medicare Advantage,medical,1,0
615,Wise Provider Networks,medical,1,0
617,Allied Benefits Systems,medical,1,0
619,American Heritage Life Insurance,medical,1,0
621,American Medical Security,medical,1,0
623,Commerce Benefits Group,medical,1,0
625,CTI Administrators,medical,1,0
627,Employee Benefit Claims,medical,1,0
629,LifeWell Health Plans,medical,1,0
631,Peachcare,medical,1,0
633,USA Health Network,medical,1,0
635,Athenahealth,medical,1,0
637,CNIC Health Solutions,medical,1,0
639,EBMS,medical,1,0
641,Golden Rule Insurance Company,medical,1,0
643,Health Partners,medical,1,0
645,Mega Life & Health,medical,1,0
647,HealthMarkets Care Assured,medical,1,0
649,AmeriCard Health Network,medical,1,
651,AvMed Health Plans,medical,1,
653,Avalon,medical,1,
655,Circana Health Passport,medical,1,
657,Consulate General of Brazil,medical,1,
659,Darden Restaurants,medical,1,
661,Dimensions Network,medical,1,
663,Florida Health Solution,medical,1,
665,Freedom 1st,medical,1,
667,GEHA,medical,1,
